SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)      Pax     (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax
 M33L135BD             392     15.39     42.43     60.00        22     40.24     60.00        75     43.65     60.00        26       123
 M33L137BD             392     19.59     65.22     60.00        26     60.86     60.00        74     67.38     60.00        38       138
 M33L138BD             392     10.04     30.86     60.00        21     25.45     60.00        54     33.33     60.00        35       110
 M33L142BO             392     13.03     35.54     60.00        38     34.53     60.00        46     38.54     60.00        59       143
 M33L142BI             392     13.39     38.20     60.00        39     35.22     60.00        53     37.57     60.00        27       119
 M33L143BO             392     14.34     38.81     30.00        50     37.10     30.00        91     43.05     30.00        87       228
 M33L143BI             392     14.34     39.32     30.00        56     35.77     30.00        39     39.95     30.00        39       134
 M33L144BD             392     20.67     62.15     45.00        50     56.08     45.00       152     67.09     45.00        68       270
 M33L145BD             392     20.67     61.15     45.00        53     54.71     45.00       143     65.05     45.00        84       280
 M11L201BI             191      2.89     15.51     15.00       263     14.14     30.00         2     14.49     20.00        29       294
 M11L201BO             191      4.03     22.53     20.00        20     22.27     60.00         5     23.59     15.00       339       364
 M11L202BD             191      7.92     31.73     25.00        24     27.49     30.00        24     28.65     15.00        48        96
 M11L204BI             191      9.33     35.49     24.00        48     33.58     30.00        28     38.03     30.00         4        80
 M11L204BO             191      9.33     36.48     24.00        24     33.54     30.00        28     36.68     30.00        44        96
 M11L205BD             191      3.12     13.29     20.00        52     12.62     30.00         0     13.62     30.00        32        84
 M11L206BI             191      3.43     15.70     25.00        32     14.68     30.00        12     16.04     30.00         8        52
 M11L206BO             191      3.41     12.52     25.00        24     12.40     30.00         8     13.48     30.00        52        84
 M11L207BI             191      1.66      6.83     40.00        12      6.38     30.00        16      7.44     30.00         4        32
 M11L207BO             191      1.66      6.89     40.00         4      6.45     30.00         8      7.58     30.00        20        32
 M11L208BD             191      7.41     33.88     20.00       102     32.53     30.00        26     35.07     30.00        86       214
 M11L209BD             191      8.61     34.04     20.00        48     32.12     30.00        44     35.57     30.00        56       148
 M11L210BD             191      7.95     30.71     20.00        66     29.47     30.00        22     30.45     20.00        30       118
 M33L1BrzBO            351     24.91     66.74     30.00       612     62.21      0.00         0     72.82     30.00       928      1540
 M33L1BrzBI            351     24.94     66.84     30.00      1024     62.21      0.00         0     71.59     30.00       856      1880
 M33L441BrzBI          351     25.13     78.52     30.00       292     65.05      0.00         0     78.59     30.00       320       612
 M33L441BrzBO          351     25.26     74.88     30.00       276     66.79      0.00         0     89.05     30.00       258       534
 M33L6BO               392     16.52     72.98     30.00       137     69.69     30.00       425     77.77     30.00       304       866
 M33L6BI               392     16.55     75.69     30.00       270     70.64     30.00       387     76.73     30.00       269       926
 M33L12BO              392     20.21     77.51     45.00       328     70.69     45.00       520     80.05     45.00       269      1117
 M33L12BI              392     20.21     78.22     45.00       198     72.08     45.00       611     82.51     45.00       362      1171
 M33L42BO              392     13.09     55.91     30.00       352     49.44     30.00       521     54.13     30.00       270      1143
 M33L42BI              392     12.21     48.17     30.00       181     45.95     30.00       592     54.33     30.00       379      1152
 M33L55BO              392     12.90     59.10     30.00       420     50.82     30.00       705     56.13     30.00       412      1537
 M33L55BI              392     19.68     76.86     30.00       243     73.11     30.00      1083     86.66     30.00       586      1912
 M33L57BO              392     10.98     42.86     80.00        21     37.36     80.00        58     40.74     80.00        38       117
 M33L57BI              392      9.03     35.74     80.00        15     34.14     80.00        83     41.20     80.00        47       145
 M33L62BO              392     27.78    100.53     40.00       230     96.57     40.00       683    108.18     40.00       495      1408
 M33L83BO              392     12.83     48.85     30.00       442     43.80     40.00       471     47.22     30.00       355      1268
 M33L83BI              392     12.83     46.35     30.00       295     44.52     40.00       403     51.28     30.00       500      1198
 M33L88BO              392     14.06     53.60     30.00       132     50.97     60.00       188     58.33     30.00       396       716
 M33L88BI              392     14.06     55.41     30.00       316     50.24     60.00       192     55.02     30.00       326       834
 M33L150BD             392      8.90     25.70     55.00        24     24.53     55.00        50     27.54     55.00        23        97
 M33L152BD             392     13.09     43.48     60.00        10     37.82     60.00        43     45.21     60.00        27        80
 M11L153BD             192      7.38     34.42     30.00        36     27.87     30.00        84     31.66     30.00       136       256
 M11L153BD   -         192      7.38     33.22     30.00       128     27.78     30.00        80     33.88     30.00        28       236
 M33L154BD             392      4.72     18.83     60.00         7     17.57     60.00        22     20.40     60.00        10        39
 M33L48BO              392      8.15     31.80     50.00        28     30.71     50.00       113     34.11     50.00        56       197
 M33L48BI              392      8.47     34.66     50.00        64     32.33     50.00       134     34.49     50.00        57       255
 M33L2BrzBI            351     29.22     87.04     30.00       796     73.11      0.00         0     85.56     30.00       908      1704
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M33L2BrzBO            351     29.26     82.59     30.00       796     76.16      0.00         0     98.59     30.00       974      1770
 M33L600BD             392     21.29     79.09     60.00        76     71.48     60.00       163     82.17     60.00        89       328
 M33L601BD             392      9.48     44.28     60.00        10     41.26     60.00        48     44.66     60.00        25        83
 M33L602BD             392      7.30     34.65     90.00        31     33.20     90.00        73     37.71     90.00        37       141
 M33L602BD   -         392      7.30     36.99     90.00        32     33.29     90.00        86     35.56     90.00        27       145
 M33L603BI             392      7.95     33.52     90.00        18     31.74     90.00        49     36.48     90.00        27        94
 M33L603BO             392      8.02     35.62     90.00        34     31.78     90.00        41     34.44     90.00        20        95
 M33L604BD             392      3.55     17.54     60.00         8     16.83     60.00        59     18.78     60.00        38       105
 M33L604BD   -         392      3.55     17.99     60.00        28     16.87     60.00        54     18.28     60.00        18       100
 M33L605BD             392      3.81     18.95     60.00        18     17.65     60.00        30     19.18     60.00        21        69
 M33L605BD   -         392      3.81     18.31     60.00         9     17.62     60.00        51     20.10     60.00        17        77
 M33L606BD             392      3.09     13.03     60.00         7     12.28     60.00        23     14.11     60.00        18        48
 M33L606BD   -         392      3.09     13.23     60.00         5     12.41     60.00        14     13.91     60.00        12        31
 M33L607BD             392     24.93     86.66     60.00        64     81.09     60.00        80     89.41     60.00        32       176
 M33L608BD             392     12.69     48.50     60.00        40     45.16     60.00        69     49.94     60.00        46       155
 M33L609BD             392     11.17     43.60     60.00        59     40.98     60.00        81     45.70     60.00        74       214
 M33L610BD             392     13.20     52.48     60.00        37     49.88     60.00        45     53.96     60.00        22       104
 M33L611BD             392     13.99     57.57     60.00        35     51.52     60.00        67     60.25     60.00        32       134
 M33L612BD             392     14.68     50.98     60.00        45     45.11     60.00       164     53.90     60.00        84       293
 M33L613BD             392     13.29     48.39     60.00        24     46.20     60.00        66     48.96     60.00        43       133
 M11L210BI             191      9.36     45.95     70.00         2     43.90     75.00         6     46.60    120.00        21        29
 M11L210BO             191      9.36     44.80     66.00        63     42.54     75.00         6     45.28    120.00         7        76
 M23L1MI               292      3.80     14.68     45.00        23     14.67     90.00        28     19.12     34.00        99       150
 M23L1MO               292      4.06     20.93     45.00       160     16.59    120.00        24     16.99     34.00        51       235
 M23L2MI               292      9.39     30.22     15.00       158     27.64     24.00       300     32.73     18.00       263       721
 M23L2MO               292      8.80     25.66     10.00       284     22.99     26.00       311     26.80     17.00       151       746
 M23L3MI               292      9.64     55.50     20.00       279     47.29     20.00       838     59.13     18.00       922      2039
 M23L3MO               292     10.45     58.54     18.00      1235     46.91     20.00       837     58.57     20.00       398      2470
 M23L4MI               292     15.32     73.65     30.00       286     68.50     45.00       273     76.31     30.00       354       913
 M23L4MO               292     17.28     79.50     30.00       284     76.32     45.00       235     87.54     30.00       253       772
 M23L104MI             292     10.65     54.60     30.00        89     49.42     33.00       235     54.28     27.00       149       473
 M23L104MO             292     10.70     51.18     23.00       181     48.45     30.00       270     57.24     30.00       221       672
 M23L8MI               292     10.42     56.37     20.00       638     40.57     28.00       954     51.25     22.00       838      2430
 M23L8MO               292     10.67     51.78     20.00       748     43.00     28.00       841     54.86     22.00       649      2238
 M23L11MI              292     16.51     86.03     20.00      1257     70.32     25.00      1670     79.81     20.00      1168      4095
