Origin_Zone,Destination_Zone,Start_date,End_Date,Purpose,Time_of_Day,Subscriber_Class,Count,SZCount
9,10,20150401,20150430,H00:H24,NHB,Resident,2270.95,290.18
10,9,20150401,20150430,H00:H24,HBW,Resident,1433.84,77.31
17,8,20150401,20150430,H00:H24,NHB,Resident,3455.53,60.15
10,13,20150401,20150430,H00:H24,HBW,Resident,9449.78,103.36
13,11,20150401,20150430,H00:H24,NHB,Resident,9152.98,520.29
7,10,20150401,20150430,H00:H24,NHB,Visitor,473.58,56.55
15,11,20150401,20150430,H00:H24,HBW,Resident,5319.62,367.11
4,17,20150401,20150430,H00:H24,NHB,Resident,1172.60,29.69
9,13,20150401,20150430,H00:H24,NHB,Resident,2312.10,400.76
13,15,20150401,20150430,H00:H24,HBO,Resident,2034.04,658.25
11,16,20150401,20150430,H00:H24,NHB,Visitor,2096.73,279.56
6,11,20150401,20150430,H00:H24,NHB,Visitor,1177.88,125.45
8,10,20150401,20150430,H00:H24,HBO,Resident,481.33,63.03
10,8,20150401,20150430,H00:H24,HBO,Resident,456.28,60.84
21,31,20150401,20150430,H00:H24,HBO,Resident,158.66,27.36
31,10,20150401,20150430,H00:H24,NHB,Resident,536.85,138.05
10,21,20150401,20150430,H00:H24,HBW,Resident,2510.77,90.10
21,24,20150401,20150430,H00:H24,NHB,Visitor,3077.96,459.60
15,2,20150401,20150430,H00:H24,NHB,Resident,1506.69,440.85
2,34,20150401,20150430,H00:H24,NHB,Resident,377.58,94.40
34,16,20150401,20150430,H00:H24,NHB,Resident,1660.44,251.79
2,11,20150401,20150430,H00:H24,HBW,Resident,6722.60,138.92
11,2,20150401,20150430,H00:H24,HBW,Resident,7296.52,62.63
15,21,20150401,20150430,H00:H24,NHB,Resident,596.53,105.93
15,9,20150401,20150430,H00:H24,HBW,Resident,2451.65,12.05
9,15,20150401,20150430,H00:H24,HBW,Resident,2041.84,17.50
22,14,20150401,20150430,H00:H24,HBW,Resident,1149.59,97.84
14,22,20150401,20150430,H00:H24,HBO,Resident,497.09,71.01
14,22,20150401,20150430,H00:H24,HBW,Resident,888.82,145.58
13,14,20150401,20150430,H00:H24,HBW,Resident,3092.60,269.26
7,15,20150401,20150430,H00:H24,NHB,Resident,9625.33,140.17
2,15,20150401,20150430,H00:H24,NHB,Visitor,1012.53,145.64
10,18,20150401,20150430,H00:H24,NHB,Resident,4066.83,17.61
18,2,20150401,20150430,H00:H24,HBO,Resident,1726.78,4.89
19,17,20150401,20150430,H00:H24,NHB,Resident,1397.21,293.86
17,19,20150401,20150430,H00:H24,HBO,Resident,631.08,91.34
14,17,20150401,20150430,H00:H24,NHB,Resident,11707.16,2269.95
25,33,20150401,20150430,H00:H24,NHB,Visitor,73.48,16.33
16,25,20150401,20150430,H00:H24,HBW,Resident,770.76,127.45
25,16,20150401,20150430,H00:H24,HBW,Resident,663.95,97.46
11,15,20150401,20150430,H00:H24,HBW,Resident,4439.12,441.24
12,7,20150401,20150430,H00:H24,HBW,Resident,367.11,23.43
7,12,20150401,20150430,H00:H24,HBW,Resident,274.31,13.72
2,21,20150401,20150430,H00:H24,NHB,Visitor,3870.53,224.19
17,25,20150401,20150430,H00:H24,HBO,Resident,1747.26,335.77
25,14,20150401,20150430,H00:H24,NHB,Resident,2826.38,663.05
8,17,20150401,20150430,H00:H24,HBW,Resident,2635.28,17.49
17,8,20150401,20150430,H00:H24,HBW,Resident,2136.64,40.21
34,15,20150401,20150430,H00:H24,HBW,Resident,671.30,119.34
15,34,20150401,20150430,H00:H24,HBO,Resident,1062.98,176.12
15,34,20150401,20150430,H00:H24,HBW,Resident,572.21,77.71
34,24,20150401,20150430,H00:H24,NHB,Visitor,434.59,63.09
11,39,20150401,20150430,H00:H24,NHB,Resident,777.63,113.80
39,25,20150401,20150430,H00:H24,NHB,Resident,75.39,34.80
13,21,20150401,20150430,H00:H24,HBW,Resident,1320.63,100.69
