Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
16,17,20150401,20150430,H16:H19,NHB,Visitor,463.14,19.2975
2,13,20150401,20150430,H07:H10,NHB,Resident,789.05,42.77981928
2,13,20150401,20150430,H16:H19,NHB,Resident,1535.26,131.9364063
13,2,20150401,20150430,H16:H19,NHB,Resident,1450.04,69.04952381
7,31,20150401,20150430,H16:H19,NHB,Resident,29.79,7.4475
16,9,20150401,20150430,H07:H10,NHB,Resident,1296.92,49.07264865
16,2,20150401,20150430,H16:H19,NHB,Visitor,136.45,21.54473684
17,25,20150401,20150430,H16:H19,NHB,Resident,660.51,156.6157732
25,11,20150401,20150430,H16:H19,HBO,Resident,782.71,146.3009346
2,20,20150401,20150430,H07:H10,NHB,Resident,302.07,20.138
20,17,20150401,20150430,H16:H19,NHB,Resident,1508.39,182.2637917
8,20,20150401,20150430,H07:H10,NHB,Resident,86.67,5.778
14,13,20150401,20150430,H16:H19,HBW,Resident,655.29,49.76886076
13,2,20150401,20150430,H07:H10,NHB,Visitor,1276.86,47.29111111
15,24,20150401,20150430,H07:H10,NHB,Resident,183.05,16.64090909
24,17,20150401,20150430,H16:H19,NHB,Resident,162.64,22.58888889
17,20,20150401,20150430,H16:H19,NHB,Resident,378.38,42.04222222
16,9,20150401,20150430,H16:H19,NHB,Resident,1269.76,76.1856
24,18,20150401,20150430,H16:H19,NHB,Visitor,92.24,6.149333333
17,14,20150401,20150430,H07:H10,NHB,Resident,2062.97,411.3086604
16,17,20150401,20150430,H07:H10,HBO,Resident,2840.1,129.9816934
2,35,20150401,20150430,H16:H19,NHB,Resident,75.25,20.52272727
10,24,20150401,20150430,H16:H19,HBO,Resident,104.41,10.441
15,16,20150401,20150430,H16:H19,HBW,Resident,1303.95,41.17736842
6,15,20150401,20150430,H07:H10,NHB,Resident,2089.8,21.39726962
15,20,20150401,20150430,H07:H10,HBW,Resident,665.51,66.551
20,15,20150401,20150430,H07:H10,HBW,Resident,20.5,5.125
2,11,20150401,20150430,H07:H10,NHB,Visitor,789.68,84.84165289
11,24,20150401,20150430,H16:H19,NHB,Visitor,784.29,136.7111009
12,11,20150401,20150430,H07:H10,HBO,Resident,3514.45,42.13968825
14,2,20150401,20150430,H07:H10,HBO,Resident,362.17,45.90887324
14,16,20150401,20150430,H16:H19,NHB,Resident,4624.47,736.1674385
2,23,20150401,20150430,H16:H19,HBW,Resident,126.64,14.07111111
34,14,20150401,20150430,H16:H19,HBO,Resident,336.2,50.74716981
15,16,20150401,20150430,H16:H19,HBO,Resident,4643.68,149.3945308
25,14,20150401,20150430,H07:H10,HBO,Resident,268.94,43.0304
2,13,20150401,20150430,H16:H19,NHB,Visitor,2303.44,104.4052125
13,9,20150401,20150430,H16:H19,NHB,Visitor,255.69,19.66846154
11,12,20150401,20150430,H07:H10,HBW,Resident,4035.01,22.41672222
13,21,20150401,20150430,H16:H19,HBO,Resident,276.76,26.18
21,13,20150401,20150430,H16:H19,HBO,Resident,239.4,39.9
2,10,20150401,20150430,H16:H19,NHB,Visitor,8613.65,101.5760613
40,34,20150401,20150430,H07:H10,HBW,Resident,28.35,8.1
40,15,20150401,20150430,H16:H19,HBO,Resident,448.28,35.39052632
10,9,20150401,20150430,H16:H19,HBW,Resident,166.29,10.7283871
10,13,20150401,20150430,H07:H10,HBW,Resident,4137.05,45.46208791
13,11,20150401,20150430,H16:H19,NHB,Resident,2578.55,109.4344828
11,9,20150401,20150430,H07:H10,NHB,Resident,520.25,98.42567568
9,13,20150401,20150430,H16:H19,NHB,Resident,463.29,128.0143421
13,15,20150401,20150430,H16:H19,HBO,Resident,543.18,271.59
11,16,20150401,20150430,H07:H10,NHB,Visitor,420.64,71.42943396
15,2,20150401,20150430,H07:H10,NHB,Resident,500.83,144.8183133
2,34,20150401,20150430,H16:H19,NHB,Resident,60.05,33.36111111
34,16,20150401,20150430,H16:H19,NHB,Resident,501.31,65.10519481
2,11,20150401,20150430,H07:H10,HBW,Resident,1470.58,4.869470199
11,2,20150401,20150430,H16:H19,HBW,Resident,765.66,14.81922581
15,21,20150401,20150430,H16:H19,NHB,Resident,89.26,14.87666667
14,12,20150401,20150430,H07:H10,HBW,Resident,454.18,24.55027027
16,17,20150401,20150430,H16:H19,HBO,Resident,2645.57,133.1865904
9,15,20150401,20150430,H16:H19,HBW,Resident,886.96,5.649426752
22,14,20150401,20150430,H07:H10,HBW,Resident,561.11,71.25206349
14,22,20150401,20150430,H16:H19,HBO,Resident,162.9,34.29473684
